"","d","a","b","qa","qb","cmgnl","b11","b12","b21","b22","maxb","bc","quad_conc"
"1",0.761906657877099,33,35,"Q33. in need helps to turn to partner","Q35. comfort and reassurance",0.998285450296795,7.43102703975511,2.31348848161375,4.04026529571053,60.8845806679487,60.8845806679487,4.59492693902646,0.924530531562889
"2",0.74483258209072,35,33,"Q35. comfort and reassurance","Q33. in need helps to turn to partner",0.998285450296795,7.43102703975511,4.04026529571053,2.31348848161375,60.8845806679487,60.8845806679487,4.59492693902646,0.924530531562889
"3",0.698173452982009,17,23,"Q17. avoid getting too close","Q23. prefer distance from partner",0.965273483554193,49.5142002989537,2.41326410195893,7.04114546455826,13.6240264337975,49.5142002989537,7.6928120001049,0.844634227077127
"4",0.697700029878635,33,23,"Q33. in need helps to turn to partner","Q23. prefer distance from partner",-0.551537027944642,3.51298190401259,6.08182533438238,54.8819826907947,8.34972462627852,54.8819826907947,5.98151062155783,0.891011397032471
"5",0.669988876406985,33,31,"Q33. in need helps to turn to partner","Q31. comfort advice help",0.983438076012867,7.59974171835561,2.38127849413975,7.110571937308,58.9782221613478,58.9782221613478,5.69719738326778,0.903401676508969
"6",0.664314858129939,23,17,"Q23. prefer distance from partner","Q17. avoid getting too close",0.965273483554193,49.5142002989537,7.04114546455826,2.41326410195893,13.6240264337975,49.5142002989537,7.6928120001049,0.844634227077127
"7",0.650398255769379,3,23,"Q3. comfortable with lovers","Q23. prefer distance from partner",-0.573339967459004,6.49131084375246,10.7356294723598,52.2410945977825,4.74168435951875,52.2410945977825,7.32287489187702,0.859825393241514
"8",0.64297804282235,35,23,"Q35. comfort and reassurance","Q23. prefer distance from partner",-0.517903316840327,4.9291751216533,7.48241691128667,52.9127839397939,7.35633089698379,52.9127839397939,6.58930764330792,0.875468513416238
"9",0.629908691538339,31,33,"Q31. comfort advice help","Q33. in need helps to turn to partner",0.983438076012867,7.59974171835561,7.110571937308,2.38127849413975,58.9782221613478,58.9782221613478,5.69719738326778,0.903401676508969
"10",0.626808732223966,33,27,"Q33. in need helps to turn to partner","Q27. discuss problems and concerns",0.986199483239278,7.30617762887204,2.62544328846568,7.21996904328063,57.3698544250475,57.3698544250475,5.71719665353945,0.900344933574673
"11",0.620078975837234,7,13,"Q7. uncomfortable too close","Q13. nervous when partner comes too close",0.956867911987004,48.1096168485156,5.5393984346027,3.57386840512951,19.6455409599282,48.1096168485156,9.58626926655346,0.800741101374013
"12",0.618263897901171,13,7,"Q13. nervous when partner comes too close","Q7. uncomfortable too close",0.956867911987004,48.1096168485156,3.57386840512951,5.5393984346027,19.6455409599282,48.1096168485156,9.58626926655346,0.800741101374013
